left	right	left_type	right_type
bm_iri	ct	modifier__symbol	cis_trans__symbol
bm_tbi	atom_oar	modifier__symbol	atom__symbol
bm_tbi	atom_oal	modifier__symbol	atom__symbol
bm_tbi	atom_oal_2	modifier__symbol	atom__symbol
bm_tbi	anything	modifier__symbol	anything__symbol
bm_tbi	bracket	modifier__symbol	bracket__symbol
bm_tbi	bm_ibi	modifier__symbol	modifier__symbol
bm_tbi	bm_iri	modifier__symbol	modifier__symbol
bm_tbi	bm_tbi	modifier__symbol	modifier__symbol
bm_tbi	bm_tri	modifier__symbol	modifier__symbol
bm_tbi	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tbi	bm_ire_2	modifier__symbol	modifier__symbol
bm_tbi	bm_iri_3	modifier__symbol	modifier__symbol
bm_tbi	bm_ire_4	modifier__symbol	modifier__symbol
bm_tbi	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tbi	bm_tre_2	modifier__symbol	modifier__symbol
bm_tbi	bm_tre_4	modifier__symbol	modifier__symbol
bm_tbi	bm_tri_3	modifier__symbol	modifier__symbol
bm_tbi	ct	modifier__symbol	cis_trans__symbol
bm_tri	atom_oar	modifier__symbol	atom__symbol
bm_tri	atom_oal	modifier__symbol	atom__symbol
bm_tri	atom_oal_2	modifier__symbol	atom__symbol
bm_tri	anything	modifier__symbol	anything__symbol
bm_tri	bracket	modifier__symbol	bracket__symbol
bm_tri	bm_ibi	modifier__symbol	modifier__symbol
bm_tri	bm_iri	modifier__symbol	modifier__symbol
bm_tri	bm_tbi	modifier__symbol	modifier__symbol
bm_tri	bm_tri	modifier__symbol	modifier__symbol
bm_tri	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tri	bm_ire_2	modifier__symbol	modifier__symbol
bm_tri	bm_iri_3	modifier__symbol	modifier__symbol
bm_tri	bm_ire_4	modifier__symbol	modifier__symbol
bm_tri	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tri	bm_tre_2	modifier__symbol	modifier__symbol
bm_tri	bm_tre_4	modifier__symbol	modifier__symbol
bm_tri	bm_tri_3	modifier__symbol	modifier__symbol
bm_tri	ct	modifier__symbol	cis_trans__symbol
bm_ibe_2	atom_oar	modifier__symbol	atom__symbol
bm_ibe_2	atom_oal	modifier__symbol	atom__symbol
bm_ibe_2	atom_oal_2	modifier__symbol	atom__symbol
bm_ibe_2	anything	modifier__symbol	anything__symbol
bm_ibe_2	bracket	modifier__symbol	bracket__symbol
bm_ibe_2	bm_iri	modifier__symbol	modifier__symbol
bm_ibe_2	bm_tri	modifier__symbol	modifier__symbol
bm_ibe_2	bm_ibe_2	modifier__symbol	modifier__symbol
bm_ibe_2	bm_ire_2	modifier__symbol	modifier__symbol
bm_ibe_2	bm_iri_3	modifier__symbol	modifier__symbol
bm_ibe_2	bm_ire_4	modifier__symbol	modifier__symbol
bm_ibe_2	bm_tre_2	modifier__symbol	modifier__symbol
bm_ibe_2	bm_tre_4	modifier__symbol	modifier__symbol
bm_ibe_2	bm_tri_3	modifier__symbol	modifier__symbol
bm_ibe_2	ct	modifier__symbol	cis_trans__symbol
bm_ire_2	atom_oar	modifier__symbol	atom__symbol
bm_ire_2	atom_oal	modifier__symbol	atom__symbol
bm_ire_2	atom_oal_2	modifier__symbol	atom__symbol
bm_ire_2	anything	modifier__symbol	anything__symbol
bm_ire_2	bracket	modifier__symbol	bracket__symbol
bm_ire_2	bm_ibi	modifier__symbol	modifier__symbol
bm_ire_2	bm_iri	modifier__symbol	modifier__symbol
bm_ire_2	bm_tbi	modifier__symbol	modifier__symbol
bm_ire_2	bm_tri	modifier__symbol	modifier__symbol
bm_ire_2	bm_ibe_2	modifier__symbol	modifier__symbol
bm_ire_2	bm_ire_2	modifier__symbol	modifier__symbol
bm_ire_2	bm_iri_3	modifier__symbol	modifier__symbol
bm_ire_2	bm_ire_4	modifier__symbol	modifier__symbol
bm_ire_2	bm_tbe_2	modifier__symbol	modifier__symbol
bm_ire_2	bm_tre_2	modifier__symbol	modifier__symbol
bm_ire_2	bm_tre_4	modifier__symbol	modifier__symbol
bm_ire_2	bm_tri_3	modifier__symbol	modifier__symbol
bm_ire_2	ct	modifier__symbol	cis_trans__symbol
bm_iri_3	atom_oar	modifier__symbol	atom__symbol
bm_iri_3	atom_oal	modifier__symbol	atom__symbol
bm_iri_3	atom_oal_2	modifier__symbol	atom__symbol
bm_iri_3	anything	modifier__symbol	anything__symbol
bm_iri_3	bracket	modifier__symbol	bracket__symbol
bm_iri_3	bm_ibi	modifier__symbol	modifier__symbol
bm_iri_3	bm_iri	modifier__symbol	modifier__symbol
bm_iri_3	bm_tbi	modifier__symbol	modifier__symbol
