"left_charClass"	"right_charClass"	"example_pair"
"w_atom_oal"	"s_bm_iri"	"B%"
"w_atom_oal"	"s_bm_tri"	"B%"
"e_atom_oal"	"w_bm_iri"	"l0"
"e_atom_oal"	"w_bm_tri"	"l0"
"w_atom_oar"	"w_bm_tbi"	"b)"
"w_atom_oal"	"w_bm_tbi"	"B)"
"e_atom_oal"	"w_bm_tbi"	"l)"
"w_single_bond"	"w_anything"	"-*"
"e_bm_ibe"	"w_anything"	"-*"
"e_bm_ire"	"w_anything"	"0*"
"r_bm_ire"	"w_anything"	"0*"
"e_bm_tbe"	"w_anything"	"-*"
"e_bm_tre"	"w_anything"	"0*"
"r_bm_tre"	"w_anything"	"0*"
"w_double_bond"	"w_anything"	"=*"
"w_triple_bond"	"w_anything"	"#*"
"w_quadruple_bond"	"w_anything"	"$*"
"w_aromatic_bond"	"w_anything"	":*"
"w_no_bond"	"w_anything"	".*"
"w_bm_ibi"	"w_anything"	"(*"
"w_bm_iri"	"w_anything"	"0*"
"w_bm_tri"	"w_anything"	"0*"
"r_bm_iri"	"w_anything"	"0*"
"r_bm_tri"	"w_anything"	"0*"
"w_bm_tbi"	"w_anything"	")*"
"w_anything"	"w_single_bond"	"*-"
"w_anything"	"s_bm_ibe"	"*("
"w_anything"	"s_bm_ire"	"*-"
"w_anything"	"s_bm_ire_4"	"*-"
"w_anything"	"s_bm_tbe"	"*)"
"w_anything"	"s_bm_tre"	"*-"
"w_anything"	"s_bm_tre_4"	"*-"
"w_bm_ibi"	"s_bm_ibe"	"(("
"w_bm_ibi"	"s_bm_ire"	"(-"
"w_bm_ibi"	"s_bm_ire_4"	"(-"
"w_bm_ibi"	"s_bm_tbe"	"()"
"w_bm_ibi"	"s_bm_tre"	"(-"
"w_bm_ibi"	"s_bm_tre_4"	"(-"
"w_bm_iri"	"s_bm_ibe"	"0("
"w_bm_iri"	"s_bm_ire"	"0-"
"w_bm_iri"	"s_bm_ire_4"	"0-"
"w_bm_iri"	"s_bm_tbe"	"0)"
"w_bm_iri"	"s_bm_tre"	"0-"
"w_bm_iri"	"s_bm_tre_4"	"0-"
"w_bm_tri"	"s_bm_ibe"	"0("
"w_bm_tri"	"s_bm_ire"	"0-"
"w_bm_tri"	"s_bm_ire_4"	"0-"
"w_bm_tri"	"s_bm_tbe"	"0)"
"w_bm_tri"	"s_bm_tre"	"0-"
"w_bm_tri"	"s_bm_tre_4"	"0-"
"w_bm_tbi"	"s_bm_ibe"	")("
"w_bm_tbi"	"s_bm_ire"	")-"
"w_bm_tbi"	"s_bm_ire_4"	")-"
"w_bm_tbi"	"s_bm_tbe"	"))"
"w_bm_tbi"	"s_bm_tre"	")-"
"w_bm_tbi"	"s_bm_tre_4"	")-"
"w_anything"	"w_double_bond"	"*="
"w_anything"	"w_triple_bond"	"*#"
"w_anything"	"w_quadruple_bond"	"*$"
"w_anything"	"w_aromatic_bond"	"*:"
"w_anything"	"w_no_bond"	"*."
"w_anything"	"w_bm_ibi"	"*("
"e_bm_ibe"	"w_bm_ibi"	"-("
"e_bm_ire"	"w_bm_ibi"	"0("
"r_bm_ire"	"w_bm_ibi"	"0("
"e_bm_tbe"	"w_bm_ibi"	"-("
"e_bm_tre"	"w_bm_ibi"	"0("
"r_bm_tre"	"w_bm_ibi"	"0("
"w_bm_ibi"	"w_bm_ibi"	"(("
"w_bm_iri"	"w_bm_ibi"	"0("
"w_bm_tri"	"w_bm_ibi"	"0("
"r_bm_iri"	"w_bm_ibi"	"0("
"r_bm_tri"	"w_bm_ibi"	"0("
"w_bm_tbi"	"w_bm_ibi"	")("
"w_anything"	"w_bm_iri"	"*0"
"w_anything"	"w_bm_tri"	"*0"
"w_anything"	"s_bm_iri"	"*%"
"w_anything"	"s_bm_tri"	"*%"
"e_bm_ibe"	"w_bm_iri"	"-0"
"e_bm_ibe"	"w_bm_tri"	"-0"
"e_bm_ire"	"w_bm_iri"	"00"
"e_bm_ire"	"w_bm_tri"	"00"
"r_bm_ire"	"w_bm_iri"	"00"
"r_bm_ire"	"w_bm_tri"	"00"
"e_bm_tbe"	"w_bm_iri"	"-0"
"e_bm_tbe"	"w_bm_tri"	"-0"
"e_bm_tre"	"w_bm_iri"	"00"
"e_bm_tre"	"w_bm_tri"	"00"
"r_bm_tre"	"w_bm_iri"	"00"
"r_bm_tre"	"w_bm_tri"	"00"
"w_bm_ibi"	"w_bm_iri"	"(0"
"w_bm_ibi"	"w_bm_tri"	"(0"
"w_bm_ibi"	"s_bm_iri"	"(%"
"w_bm_ibi"	"s_bm_tri"	"(%"
"w_bm_iri"	"w_bm_iri"	"00"
"w_bm_iri"	"w_bm_tri"	"00"
"w_bm_iri"	"s_bm_iri"	"0%"
"w_bm_iri"	"s_bm_tri"	"0%"
"w_bm_tri"	"w_bm_iri"	"00"
"w_bm_tri"	"w_bm_tri"	"00"
"w_bm_tri"	"s_bm_iri"	"0%"
"w_bm_tri"	"s_bm_tri"	"0%"
"r_bm_iri"	"w_bm_iri"	"00"
"r_bm_iri"	"w_bm_tri"	"00"
"r_bm_tri"	"w_bm_iri"	"00"
"r_bm_tri"	"w_bm_tri"	"00"
"w_bm_tbi"	"w_bm_iri"	")0"
"w_bm_tbi"	"w_bm_tri"	")0"
"w_bm_tbi"	"s_bm_iri"	")%"
"w_bm_tbi"	"s_bm_tri"	")%"
"w_anything"	"w_bm_tbi"	"*)"
"e_bm_ibe"	"w_bm_tbi"	"-)"
"e_bm_ire"	"w_bm_tbi"	"0)"
"r_bm_ire"	"w_bm_tbi"	"0)"
"e_bm_tbe"	"w_bm_tbi"	"-)"
"e_bm_tre"	"w_bm_tbi"	"0)"
"r_bm_tre"	"w_bm_tbi"	"0)"
"w_bm_ibi"	"w_bm_tbi"	"()"
"w_bm_iri"	"w_bm_tbi"	"0)"
"w_bm_tri"	"w_bm_tbi"	"0)"
"r_bm_iri"	"w_bm_tbi"	"0)"
"r_bm_tri"	"w_bm_tbi"	"0)"
"w_bm_tbi"	"w_bm_tbi"	"))"
"w_anything"	"w_anything"	"**"
"s_isotope"	"r_isotope"	"00"
"s_chiral_m"	"m_chiral"	"@A"
"s_hydro"	"e_hydro"	"H0"
"s_charge"	"e_charge"	"--"
"s_charge_m"	"r_charge"	"-0"
"s_class"	"r_class"	":0"
"s_chiral"	"e_chiral"	"@@"
"s_atom_bal"	"e_atom_bal"	"Aa"
"s_atom_bar"	"e_atom_bar"	"ae"
"s_atom_oal"	"e_atom_oal"	"Bl"
"s_bm_ibe"	"e_bm_ibe"	"(-"
"s_bm_ire"	"e_bm_ire"	"-0"
"s_bm_ire_4"	"n_bm_ire"	"-%"
"s_bm_tbe"	"e_bm_tbe"	")-"
"s_bm_tre"	"e_bm_tre"	"-0"
"s_bm_tre_4"	"n_bm_tre"	"-%"
"s_bm_iri"	"r_bm_iri"	"%0"
"s_bm_tri"	"r_bm_tri"	"%0"
"m_chiral"	"m_chiral"	"AA"
"m_chiral"	"r_chiral"	"A0"
"n_bm_ire"	"r_bm_ire"	"%0"
"n_bm_tre"	"r_bm_tre"	"%0"
"r_isotope"	"s_atom_bal"	"0A"
"r_isotope"	"s_atom_bar"	"0a"
"e_atom_bal"	"s_chiral_m"	"a@"
"e_atom_bar"	"s_chiral_m"	"e@"
"e_atom_bal"	"s_hydro"	"aH"
"e_atom_bar"	"s_hydro"	"eH"
"r_chiral"	"s_hydro"	"0H"
"e_chiral"	"s_hydro"	"@H"
"r_chiral"	"s_bracket"	"0["
"e_hydro"	"s_bracket"	"0["
"e_charge"	"s_bracket"	"-["
"r_charge"	"s_bracket"	"0["
"r_class"	"s_bracket"	"0["
"e_chiral"	"s_bracket"	"@["
"e_atom_bal"	"s_charge"	"a-"
"e_atom_bal"	"s_charge_m"	"a-"
"e_atom_bar"	"s_charge"	"e-"
"e_atom_bar"	"s_charge_m"	"e-"
"r_chiral"	"s_charge"	"0-"
"r_chiral"	"s_charge_m"	"0-"
"e_hydro"	"s_charge"	"0-"
"e_hydro"	"s_charge_m"	"0-"
"r_charge"	"s_charge_m"	"0-"
"e_chiral"	"s_charge"	"@-"
"e_chiral"	"s_charge_m"	"@-"
"e_atom_bal"	"s_class"	"a:"
"e_atom_bar"	"s_class"	"e:"
"r_chiral"	"s_class"	"0:"
"e_hydro"	"s_class"	"0:"
"e_charge"	"s_class"	"-:"
"r_charge"	"s_class"	"0:"
"r_class"	"s_class"	"0:"
"e_chiral"	"s_class"	"@:"
"e_atom_bal"	"s_chiral"	"a@"
"e_atom_bar"	"s_chiral"	"e@"
"e_atom_bal"	"s_bracket"	"a["
"e_atom_bar"	"s_bracket"	"e["
"e_atom_oal"	"s_atom_oal"	"lB"
"e_bm_ibe"	"s_atom_oal"	"-B"
"e_bm_ire"	"s_atom_oal"	"0B"
"r_bm_ire"	"s_atom_oal"	"0B"
"e_bm_tbe"	"s_atom_oal"	"-B"
"e_bm_tre"	"s_atom_oal"	"0B"
"r_bm_tre"	"s_atom_oal"	"0B"
"r_bm_iri"	"s_atom_oal"	"0B"
"r_bm_tri"	"s_atom_oal"	"0B"
"e_atom_oal"	"s_bracket"	"l["
"e_atom_oal"	"s_bm_ibe"	"l("
"e_atom_oal"	"s_bm_ire"	"l-"
"e_atom_oal"	"s_bm_ire_4"	"l-"
"e_atom_oal"	"s_bm_tbe"	"l)"
"e_atom_oal"	"s_bm_tre"	"l-"
"e_atom_oal"	"s_bm_tre_4"	"l-"
"e_atom_oal"	"s_bm_iri"	"l%"
"e_atom_oal"	"s_bm_tri"	"l%"
"e_atom_oal"	"l_ct"	"l/"
"e_atom_oal"	"r_ct"	"l/"
"e_bm_ibe"	"s_bracket"	"-["
"e_bm_ire"	"s_bracket"	"0["
"r_bm_ire"	"s_bracket"	"0["
"e_bm_tbe"	"s_bracket"	"-["
"e_bm_tre"	"s_bracket"	"0["
"r_bm_tre"	"s_bracket"	"0["
"r_bm_iri"	"s_bracket"	"0["
"r_bm_tri"	"s_bracket"	"0["
