left	right	classes	next_symb
??	A	bm_ibe_2 - atom_oal, bm_tbe_2 - atom_oal, chiral_2 - hydro	?111
??	A1	chiral_2 - hydro_2	a
??	A1	chiral_2 - hydro_2	A
??	A1	chiral_2 - hydro_2	Aa
??	A1	chiral_2 - hydro_2	aa
??	A1	chiral_2 - hydro_2	?
??	A1	chiral_2 - hydro_2	1
??	A1	chiral_2 - hydro_2	??
??	A1	chiral_2 - hydro_2	?1
??	A1	chiral_2 - hydro_2	?11
??	A1	chiral_2 - hydro_2	??11
??	A1	chiral_2 - hydro_2	11
??	A1	chiral_2 - hydro_2	111
??	A1	chiral_2 - hydro_2	?AA1
??	A1	chiral_2 - hydro_2	?AA11
??	A1	chiral_2 - hydro_2	A1
??	A1	chiral_2 - hydro_2	?111
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	a
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	A
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	Aa
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	aa
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	1
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	??
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?1
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?11
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	??11
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	11
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	111
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?AA1
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?AA11
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	A1
??	Aa	bm_ibe_2 - atom_oal_2, bm_tbe_2 - atom_oal_2	?111
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	a
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	A
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	Aa
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	aa
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	1
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	??
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?1
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?11
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	??11
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	11
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	111
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?AA1
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?AA11
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	A1
??	a	bm_ibe_2 - atom_oar, bm_tbe_2 - atom_oar	?111
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	a
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	A
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	Aa
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	aa
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	1
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	??
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?1
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?11
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	??11
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	11
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	111
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?AA1
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?AA11
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	A1
??11	1	bm_ire_4 - bm_iri, bm_ire_4 - bm_tri, bm_tre_4 - bm_iri, bm_tre_4 - bm_tri	?111
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	a
