left_charClass	right_charClass	example_pair	isOK
s_chiral	e_chiral	@@	y
s_atom_bal	e_atom_bal	Aa	y
s_atom_bar	e_atom_bar	ae	y
s_atom_oal	e_atom_oal	Bl	y
s_bm_ibe	e_bm_ibe	(-	y
s_bm_ire	e_bm_ire	0	y
s_bm_ire_4	n_bm_ire	-%	q
s_bm_tbe	e_bm_tbe	)-	y
s_bm_tre	e_bm_tre	0	y
s_bm_tre_4	n_bm_tre	-%	q
s_bm_iri	r_bm_iri	0%	y
s_bm_tri	r_bm_tri	0%	y
m_chiral	m_chiral	AA	y
m_chiral	r_chiral	A0	y
n_bm_ire	r_bm_ire	0%	y
n_bm_tre	r_bm_tre	0%	y
r_isotope	s_atom_bal	0A	y
r_isotope	s_atom_bar	0a	y
e_atom_bal	s_chiral_m	a@	y
e_atom_bar	s_chiral_m	e@	y
e_atom_bal	s_hydro	aH	y
e_atom_bar	s_hydro	eH	y
r_chiral	s_hydro	0H	y
e_chiral	s_hydro	@H	y
r_chiral	s_bracket	0[	y
e_hydro	s_bracket	0[	y
e_charge	s_bracket	-[	y
r_charge	s_bracket	0[	y
r_class	s_bracket	0[	y
e_chiral	s_bracket	@[	y
e_atom_bal	s_charge	a-	y
e_atom_bal	s_charge_m	a-	y
e_atom_bar	s_charge	e-	y
e_atom_bar	s_charge_m	e-	y
r_chiral	s_charge	0-	y
r_chiral	s_charge_m	0-	y
e_hydro	s_charge	0-	y
e_hydro	s_charge_m	0-	y
r_charge	s_charge_m	0-	y
e_chiral	s_charge	@-	y
e_chiral	s_charge_m	@-	y
e_atom_bal	s_class	a:	y
e_atom_bar	s_class	e:	y
r_chiral	s_class	0:00	y
e_hydro	s_class	0:00	y
e_charge	s_class	-:	y
r_charge	s_class	0:00	y
e_chiral	s_class	@:	y
e_atom_bal	s_chiral	a@	y
e_atom_bar	s_chiral	e@	y
e_bm_ibe	s_atom_oal	#»Ãﬂ?	y
e_bm_ire	s_atom_oal	0B	y
r_bm_ire	s_atom_oal	0B	y
e_bm_tbe	s_atom_oal	#»Ãﬂ?	y
e_bm_tre	s_atom_oal	0B	y
r_bm_tre	s_atom_oal	0B	y
r_bm_iri	s_atom_oal	0B	y
r_bm_tri	s_atom_oal	0B	y
e_atom_oal	s_bracket	l[	y
e_atom_oal	s_bm_ibe	l(	y
e_atom_oal	s_bm_ire	l-	y
e_atom_oal	s_bm_ire_4	l-	y
e_atom_oal	s_bm_tbe	l)	y
e_atom_oal	s_bm_tre	l-	y
e_atom_oal	s_bm_tre_4	l-	y
e_atom_oal	s_bm_iri	l%	y
e_atom_oal	s_bm_tri	l%	y
e_atom_oal	l_ct	l/	y
e_atom_oal	r_ct	l/	y
e_bm_ibe	s_bracket	-[	y
e_bm_ire	s_bracket	0[	y
r_bm_ire	s_bracket	0[	y
e_bm_tbe	s_bracket	-[	y
e_bm_tre	s_bracket	0[	y
r_bm_tre	s_bracket	0[	y
r_bm_iri	s_bracket	0[	y
r_bm_tri	s_bracket	0[	y
e_bm_ibe	s_bm_ibe	-(	y
e_bm_ire	s_bm_ibe	0(	y
e_bm_ire	s_bm_ire	0-	y
e_bm_ire	s_bm_ire_4	0-	y
e_bm_ire	s_bm_tbe	0)	y
e_bm_ire	s_bm_tre	0-	y
e_bm_ire	s_bm_tre_4	0-	y
r_bm_ire	s_bm_ibe	0(	y
r_bm_ire	s_bm_ire	0-	y
r_bm_ire	s_bm_ire_4	0-	y
r_bm_ire	s_bm_tbe	0)	y
r_bm_ire	s_bm_tre	0-	y
r_bm_ire	s_bm_tre_4	0-	y
e_bm_tbe	s_bm_ibe	-(	y
e_bm_tre	s_bm_ibe	0(	y
e_bm_tre	s_bm_ire	0-	y
e_bm_tre	s_bm_ire_4	0-	y
e_bm_tre	s_bm_tbe	0)	y
e_bm_tre	s_bm_tre	0-	y
e_bm_tre	s_bm_tre_4	0-	y
r_bm_tre	s_bm_ibe	0(	y
r_bm_tre	s_bm_ire	0-	y
r_bm_tre	s_bm_ire_4	0-	y
r_bm_tre	s_bm_tbe	0)	y
r_bm_tre	s_bm_tre	0-	y
r_bm_tre	s_bm_tre_4	0-	y
r_bm_iri	s_bm_ibe	0(	y
r_bm_iri	s_bm_ire	0-	y
r_bm_iri	s_bm_ire_4	0-	y
r_bm_iri	s_bm_tbe	0)	y
r_bm_iri	s_bm_tre	0-	y
r_bm_iri	s_bm_tre_4	0-	y
r_bm_tri	s_bm_ibe	0(	y
r_bm_tri	s_bm_ire	0-	y
r_bm_tri	s_bm_ire_4	0-	y
r_bm_tri	s_bm_tbe	0)	y
r_bm_tri	s_bm_tre	0-	y
r_bm_tri	s_bm_tre_4	0-	y
e_bm_ire	s_bm_iri	0%	y
e_bm_ire	s_bm_tri	0%	y
r_bm_ire	s_bm_iri	0%	y
r_bm_ire	s_bm_tri	0%	y
e_bm_tbe	s_bm_iri	-%	q
e_bm_tbe	s_bm_tri	-%	q
e_bm_tre	s_bm_iri	0%	y
e_bm_tre	s_bm_tri	0%	y
r_bm_tre	s_bm_iri	0%	y
r_bm_tre	s_bm_tri	0%	y
r_bm_iri	s_bm_iri	0%	y
r_bm_iri	s_bm_tri	0%	y
r_bm_tri	s_bm_iri	0%	y
r_bm_tri	s_bm_tri	0%	y
e_bm_ire	l_ct	0/	y
e_bm_ire	r_ct	0/	y
r_bm_ire	l_ct	0/	y
r_bm_ire	r_ct	0/	y
e_bm_tre	l_ct	0/	y
e_bm_tre	r_ct	0/	y
r_bm_tre	l_ct	0/	y
r_bm_tre	r_ct	0/	y
r_bm_iri	l_ct	0/	y
r_bm_iri	r_ct	0/	y
r_bm_tri	l_ct	0/	y
r_bm_tri	r_ct	0/	y
