left	right	classes
A	?1	atom_bal - charge_m, atom_bal - class_m, atom_oal - bm_ire_2, atom_oal - bm_tre_2, hydro - charge_m, hydro - class_m
A	?11	atom_bal - charge_m, atom_bal - class_m, atom_oal - bm_iri_3, atom_oal - bm_tri_3, hydro - charge_m, hydro - class_m
A	?111	atom_bal - class_m, hydro - class_m
A	??	atom_bal - charge_2, atom_bal - chiral_2, atom_oal - bm_ibe_2, atom_oal - bm_tbe_2, hydro - charge_2
A	??11	atom_oal - bm_ire_4, atom_oal - bm_tre_4
A	?AA1	atom_bal - chiral_m
A	?AA11	atom_bal - chiral_m
A	A	atom_bal - hydro, atom_oal - atom_oal
A	A1	atom_bal - hydro_2
A	Aa	atom_oal - atom_oal_2
A	a	atom_oal - atom_oar
A1	?	hydro_2 - bracket, hydro_2 - charge
A1	?1	hydro_2 - charge_m, hydro_2 - class_m
A1	?11	hydro_2 - charge_m, hydro_2 - class_m
A1	?111	hydro_2 - class_m
A1	??	hydro_2 - charge_2
Aa	1	atom_oal_2 - bm_iri, atom_oal_2 - bm_tri
Aa	?	atom_bal_2 - bracket, atom_bal_2 - charge, atom_bal_2 - chiral, atom_oal_2 - anything, atom_oal_2 - bm_ibi, atom_oal_2 - bm_tbi, atom_oal_2 - bracket, atom_oal_2 - ct, atom_oal_2 - double_bond, atom_oal_2 - no_bond, atom_oal_2 - quadruple_bond, atom_oal_2 - single_bond, atom_oal_2 - triple_bond
Aa	?1	atom_bal_2 - charge_m, atom_bal_2 - class_m, atom_oal_2 - bm_ire_2, atom_oal_2 - bm_tre_2
Aa	?11	atom_bal_2 - charge_m, atom_bal_2 - class_m, atom_oal_2 - bm_iri_3, atom_oal_2 - bm_tri_3
Aa	?111	atom_bal_2 - class_m
Aa	??	atom_bal_2 - charge_2, atom_bal_2 - chiral_2, atom_oal_2 - bm_ibe_2, atom_oal_2 - bm_tbe_2
Aa	??11	atom_oal_2 - bm_ire_4, atom_oal_2 - bm_tre_4
Aa	?AA1	atom_bal_2 - chiral_m
Aa	?AA11	atom_bal_2 - chiral_m
Aa	A	atom_bal_2 - hydro, atom_oal_2 - atom_oal
Aa	A1	atom_bal_2 - hydro_2
Aa	Aa	atom_bal_2 - atom_bal_2, atom_oal_2 - atom_oal_2
Aa	a	atom_oal_2 - atom_oar
a	1	atom_oar - bm_iri, atom_oar - bm_tri
a	?	atom_bar - bracket, atom_bar - charge, atom_bar - chiral, atom_oar - anything, atom_oar - aromatic_bond, atom_oar - bm_ibi, atom_oar - bm_tbi, atom_oar - bracket, atom_oar - ct, atom_oar - double_bond, atom_oar - no_bond, atom_oar - quadruple_bond, atom_oar - single_bond, atom_oar - triple_bond
a	?1	atom_bar - charge_m, atom_bar - class_m, atom_oar - bm_ire_2, atom_oar - bm_tre_2
a	?11	atom_bar - charge_m, atom_bar - class_m, atom_oar - bm_iri_3, atom_oar - bm_tri_3
a	?111	atom_bar - class_m
a	??	atom_bar - charge_2, atom_bar - chiral_2, atom_oar - bm_ibe_2, atom_oar - bm_tbe_2
a	??11	atom_oar - bm_ire_4, atom_oar - bm_tre_4
a	?AA1	atom_bar - chiral_m
a	?AA11	atom_bar - chiral_m
a	A	atom_bar - hydro, atom_oar - atom_oal
a	A1	atom_bar - hydro_2
a	Aa	atom_oar - atom_oal_2
a	a	atom_oar - atom_oar
